time,IBM,HPQ,VZ,MSFT,CSCO,INTC
2010-02-05-09:30:00,123.21,46.99,28.6,28.04,23.29,19.12
2010-02-05-09:31:00,123.22,47.05,28.62,28.06,23.29,19.14
2010-02-05-09:32:00,123.23,47.03,28.61,27.96,23.29,19.14
2010-02-05-09:33:00,123.16,47.06,28.64,28.01,23.28,19.11
2010-02-05-09:34:00,123.18,47.04,28.65,28.02,23.32,19.1
2010-02-05-09:35:00,122.95,46.83,28.6,27.96,23.29,19.09
2010-02-05-09:36:00,122.95,46.72,28.58,27.94,23.33,19.06
2010-02-05-09:37:00,122.69,46.57,28.5,27.91,23.32,19.05
2010-02-05-09:38:00,122.62,46.59,28.5,27.96,23.31,19.07
2010-02-05-09:39:00,122.73,46.62,28.5,27.94,23.32,19.06
2010-02-05-09:40:00,122.54,46.56,28.5,27.97,23.34,19.07
2010-02-05-09:41:00,122.72,46.49,28.5,28.0,23.37,19.1
2010-02-05-09:42:00,122.73,46.56,28.57,28.0,23.36,19.11
2010-02-05-09:43:00,122.75,46.51,28.6,27.99,23.39,19.11
2010-02-05-09:44:00,122.75,46.62,28.58,27.99,23.38,19.12
2010-02-05-09:45:00,122.89,46.74,28.58,27.97,23.38,19.14
2010-02-05-09:46:00,122.8,46.8,28.57,27.96,23.37,19.13
2010-02-05-09:47:00,122.81,46.84,28.59,27.93,23.34,19.13
2010-02-05-09:48:00,122.75,46.84,28.49,27.92,23.36,19.15
2010-02-05-09:49:00,122.53,46.79,28.49,27.85,23.36,19.12
2010-02-05-09:50:00,122.61,46.85,28.5,27.86,23.38,19.14
2010-02-05-09:51:00,122.59,46.82,28.42,27.83,23.35,19.1
2010-02-05-09:52:00,122.65,46.83,28.46,27.85,23.36,19.12
2010-02-05-09:53:00,122.62,46.85,28.46,27.8,23.33,19.12
2010-02-05-09:54:00,122.51,46.83,28.43,27.73,23.23,19.09
2010-02-05-09:55:00,122.39,46.79,28.45,27.73,23.22,19.08
2010-02-05-09:56:00,122.51,46.84,28.47,27.74,23.21,19.09
2010-02-05-09:57:00,122.43,46.8,28.48,27.73,23.18,19.1
2010-02-05-09:58:00,122.5,46.88,28.51,27.74,23.19,19.08
2010-02-05-09:59:00,122.45,46.84,28.52,27.75,23.19,19.08
2010-02-05-10:00:00,122.65,46.92,28.51,27.86,23.25,19.1
2010-02-05-10:01:00,122.59,46.92,28.5,27.81,23.27,19.1
2010-02-05-10:02:00,122.55,46.9,28.51,27.83,23.3,19.11
2010-02-05-10:03:00,122.34,46.86,28.48,27.83,23.28,19.09
2010-02-05-10:04:00,122.29,46.86,28.43,27.81,23.29,19.09
2010-02-05-10:05:00,122.25,46.81,28.45,27.79,23.27,19.08
2010-02-05-10:06:00,122.06,46.72,28.43,27.78,23.24,19.02
2010-02-05-10:07:00,121.9,46.72,28.44,27.81,23.24,19.02
2010-02-05-10:08:00,122.11,46.75,28.43,27.86,23.25,19.04
2010-02-05-10:09:00,122.01,46.69,28.45,27.87,23.22,19.02
2010-02-05-10:10:00,122.04,46.7,28.44,27.85,23.21,19.04
2010-02-05-10:11:00,122.28,46.77,28.49,27.85,23.27,19.05
2010-02-05-10:12:00,122.28,46.8,28.49,27.88,23.25,19.07
2010-02-05-10:13:00,122.21,46.76,28.47,27.86,23.22,19.04
2010-02-05-10:14:00,122.29,46.79,28.48,27.89,23.25,19.04
2010-02-05-10:15:00,122.36,46.77,28.48,27.9,23.28,19.08
2010-02-05-10:16:00,122.51,46.85,28.48,27.9,23.31,19.1
2010-02-05-10:17:00,122.54,46.88,28.49,27.9,23.3,19.09
2010-02-05-10:18:00,122.48,46.9,28.47,27.89,23.31,19.1
2010-02-05-10:19:00,122.29,46.87,28.45,27.85,23.32,19.07
2010-02-05-10:20:00,122.49,46.94,28.44,27.87,23.36,19.13
2010-02-05-10:21:00,122.58,46.96,28.47,27.9,23.36,19.17
2010-02-05-10:22:00,122.77,47.04,28.48,27.99,23.39,19.21
2010-02-05-10:23:00,122.83,47.08,28.49,27.99,23.39,19.24
2010-02-05-10:24:00,122.84,47.12,28.49,28.03,23.4,19.27
2010-02-05-10:25:00,122.83,47.09,28.5,28.04,23.39,19.26
2010-02-05-10:26:00,122.81,47.12,28.49,28.06,23.36,19.27
2010-02-05-10:27:00,122.92,47.17,28.5,28.12,23.39,19.27
2010-02-05-10:28:00,123.09,47.24,28.53,28.17,23.4,19.34
2010-02-05-10:29:00,123.0,47.15,28.51,28.17,23.4,19.33
2010-02-05-10:30:00,123.05,47.22,28.57,28.19,23.42,19.35
2010-02-05-10:31:00,123.08,47.27,28.58,28.24,23.45,19.36
2010-02-05-10:32:00,122.89,47.26,28.55,28.18,23.44,19.35
2010-02-05-10:33:00,122.92,47.28,28.58,28.21,23.44,19.37
2010-02-05-10:34:00,123.18,47.35,28.64,28.25,23.53,19.4
2010-02-05-10:35:00,123.14,47.32,28.6,28.19,23.53,19.38
2010-02-05-10:36:00,123.14,47.32,28.62,28.18,23.55,19.37
2010-02-05-10:37:00,123.02,47.26,28.58,28.15,23.53,19.34
2010-02-05-10:38:00,123.08,47.28,28.58,28.17,23.54,19.34
2010-02-05-10:39:00,123.0,47.25,28.58,28.14,23.52,19.32
2010-02-05-10:40:00,123.1,47.33,28.6,28.18,23.56,19.36
2010-02-05-10:41:00,123.05,47.32,28.56,28.16,23.56,19.35
2010-02-05-10:42:00,123.02,47.37,28.59,28.15,23.56,19.38
2010-02-05-10:43:00,123.06,47.43,28.6,28.19,23.58,19.37
2010-02-05-10:44:00,122.83,47.36,28.59,28.16,23.57,19.38
2010-02-05-10:45:00,122.89,47.35,28.58,28.12,23.56,19.38
2010-02-05-10:46:00,122.88,47.34,28.56,28.11,23.56,19.37
2010-02-05-10:47:00,122.9,47.33,28.58,28.09,23.58,19.39
2010-02-05-10:48:00,122.95,47.34,28.56,28.08,23.58,19.38
2010-02-05-10:49:00,122.88,47.29,28.53,28.03,23.59,19.35
2010-02-05-10:50:00,123.04,47.33,28.56,28.07,23.6,19.36
2010-02-05-10:51:00,122.99,47.31,28.58,28.11,23.61,19.37
2010-02-05-10:52:00,123.01,47.3,28.58,28.1,23.62,19.37
2010-02-05-10:53:00,123.03,47.34,28.58,28.09,23.61,19.38
2010-02-05-10:54:00,123.03,47.27,28.58,28.06,23.59,19.38
2010-02-05-10:55:00,122.93,47.26,28.57,28.02,23.55,19.34
2010-02-05-10:56:00,123.02,47.29,28.59,28.02,23.59,19.34
2010-02-05-10:57:00,122.95,47.26,28.58,28.03,23.57,19.34
2010-02-05-10:58:00,122.99,47.28,28.6,28.03,23.6,19.35
2010-02-05-10:59:00,122.84,47.25,28.58,28.03,23.54,19.37
2010-02-05-11:00:00,122.89,47.28,28.55,28.03,23.56,19.36
2010-02-05-11:01:00,122.83,47.22,28.52,27.99,23.56,19.34
2010-02-05-11:02:00,122.63,47.16,28.51,27.94,23.51,19.34
2010-02-05-11:03:00,122.56,47.12,28.53,27.95,23.5,19.34
2010-02-05-11:04:00,122.53,47.11,28.53,27.95,23.5,19.34
2010-02-05-11:05:00,122.46,47.07,28.53,27.93,23.48,19.31
2010-02-05-11:06:00,122.46,47.14,28.54,27.92,23.48,19.33
2010-02-05-11:07:00,122.58,47.17,28.54,27.95,23.51,19.35
2010-02-05-11:08:00,122.73,47.2,28.56,27.95,23.52,19.36
2010-02-05-11:09:00,122.82,47.22,28.59,27.95,23.54,19.36
2010-02-05-11:10:00,122.76,47.21,28.59,27.97,23.54,19.36
2010-02-05-11:11:00,122.58,47.14,28.57,27.93,23.52,19.35
2010-02-05-11:12:00,122.72,47.16,28.6,27.96,23.54,19.35
2010-02-05-11:13:00,122.76,47.18,28.63,27.94,23.54,19.34
2010-02-05-11:14:00,122.61,47.11,28.6,27.92,23.52,19.32
2010-02-05-11:15:00,122.69,47.13,28.58,27.92,23.55,19.31
2010-02-05-11:16:00,122.81,47.17,28.59,27.95,23.56,19.33
2010-02-05-11:17:00,122.96,47.2,28.58,27.99,23.6,19.35
2010-02-05-11:18:00,123.04,47.23,28.59,27.98,23.58,19.35
2010-02-05-11:19:00,123.04,47.25,28.58,27.98,23.59,19.36
2010-02-05-11:20:00,123.01,47.24,28.56,27.98,23.57,19.35
2010-02-05-11:21:00,122.83,47.1,28.52,27.91,23.56,19.3
2010-02-05-11:22:00,122.9,47.12,28.51,27.93,23.56,19.32
2010-02-05-11:23:00,122.93,47.13,28.53,27.93,23.58,19.32
2010-02-05-11:24:00,122.98,47.16,28.53,27.93,23.6,19.34
2010-02-05-11:25:00,122.94,47.15,28.54,27.97,23.59,19.33
2010-02-05-11:26:00,123.0,47.17,28.54,27.97,23.59,19.33
2010-02-05-11:27:00,122.98,47.2,28.56,27.97,23.58,19.34
2010-02-05-11:28:00,122.9,47.15,28.53,27.95,23.57,19.32
2010-02-05-11:29:00,122.83,47.11,28.53,27.92,23.52,19.3
2010-02-05-11:30:00,122.83,47.09,28.51,27.92,23.54,19.31
2010-02-05-11:31:00,122.93,47.11,28.51,27.94,23.57,19.33
2010-02-05-11:32:00,122.9,47.12,28.52,27.92,23.56,19.33
2010-02-05-11:33:00,122.71,47.04,28.49,27.91,23.52,19.3
2010-02-05-11:34:00,122.59,47.02,28.45,27.87,23.47,19.27
2010-02-05-11:35:00,122.55,46.98,28.46,27.86,23.47,19.26
2010-02-05-11:36:00,122.67,46.98,28.46,27.88,23.48,19.27
2010-02-05-11:37:00,122.7,47.01,28.45,27.89,23.49,19.3
2010-02-05-11:38:00,122.7,47.02,28.46,27.88,23.5,19.25
2010-02-05-11:39:00,122.65,46.97,28.44,27.87,23.48,19.25
2010-02-05-11:40:00,122.52,46.92,28.43,27.83,23.45,19.24
2010-02-05-11:41:00,122.53,46.91,28.43,27.82,23.44,19.23
2010-02-05-11:42:00,122.5,46.9,28.4,27.79,23.42,19.22
2010-02-05-11:43:00,122.5,46.9,28.4,27.79,23.44,19.24
2010-02-05-11:44:00,122.57,46.94,28.4,27.77,23.46,19.24
2010-02-05-11:45:00,122.51,46.9,28.38,27.76,23.45,19.24
2010-02-05-11:46:00,122.35,46.8,28.36,27.72,23.39,19.2
2010-02-05-11:47:00,122.6,46.94,28.41,27.79,23.45,19.25
2010-02-05-11:48:00,122.64,46.97,28.44,27.77,23.47,19.26
2010-02-05-11:49:00,122.68,47.04,28.46,27.81,23.49,19.29
2010-02-05-11:50:00,122.73,47.05,28.48,27.82,23.5,19.3
2010-02-05-11:51:00,122.69,47.07,28.5,27.81,23.5,19.27
2010-02-05-11:52:00,122.6,47.03,28.47,27.78,23.46,19.27
2010-02-05-11:53:00,122.72,47.05,28.45,27.81,23.44,19.28
2010-02-05-11:54:00,122.68,47.01,28.45,27.81,23.42,19.25
2010-02-05-11:55:00,122.75,47.05,28.45,27.82,23.45,19.27
2010-02-05-11:56:00,122.78,47.07,28.47,27.82,23.45,19.28
2010-02-05-11:57:00,122.69,47.04,28.46,27.8,23.43,19.27
2010-02-05-11:58:00,122.67,47.01,28.46,27.79,23.4,19.24
2010-02-05-11:59:00,122.71,47.01,28.44,27.82,23.42,19.27
2010-02-05-12:00:00,122.71,47.06,28.44,27.86,23.46,19.31
2010-02-05-12:01:00,122.75,47.1,28.44,27.87,23.48,19.34
2010-02-05-12:02:00,122.68,47.05,28.43,27.84,23.47,19.3
2010-02-05-12:03:00,122.7,47.06,28.43,27.85,23.47,19.3
2010-02-05-12:04:00,122.66,47.08,28.42,27.87,23.48,19.3
2010-02-05-12:05:00,122.72,47.1,28.42,27.87,23.54,19.32
2010-02-05-12:06:00,122.83,47.12,28.47,27.9,23.54,19.33
2010-02-05-12:07:00,122.79,47.1,28.46,27.86,23.53,19.32
2010-02-05-12:08:00,122.82,47.12,28.47,27.87,23.56,19.31
2010-02-05-12:09:00,122.79,47.11,28.49,27.88,23.55,19.3
2010-02-05-12:10:00,122.77,47.06,28.48,27.84,23.57,19.27
2010-02-05-12:11:00,122.8,47.09,28.46,27.85,23.56,19.28
2010-02-05-12:12:00,122.78,47.06,28.47,27.83,23.55,19.26
2010-02-05-12:13:00,122.75,47.05,28.48,27.81,23.54,19.25
2010-02-05-12:14:00,122.69,47.01,28.47,27.81,23.52,19.23
2010-02-05-12:15:00,122.63,47.01,28.47,27.82,23.53,19.22
2010-02-05-12:16:00,122.64,46.98,28.47,27.81,23.53,19.23
2010-02-05-12:17:00,122.65,47.0,28.49,27.81,23.56,19.24
2010-02-05-12:18:00,122.73,47.03,28.5,27.82,23.56,19.24
2010-02-05-12:19:00,122.75,47.06,28.51,27.84,23.58,19.28
2010-02-05-12:20:00,122.82,47.12,28.52,27.88,23.6,19.29
2010-02-05-12:21:00,122.83,47.15,28.5,27.86,23.59,19.28
2010-02-05-12:22:00,122.79,47.12,28.51,27.89,23.59,19.28
2010-02-05-12:23:00,122.84,47.12,28.53,27.9,23.6,19.29
2010-02-05-12:24:00,122.76,47.1,28.51,27.9,23.58,19.29
2010-02-05-12:25:00,122.82,47.1,28.52,27.89,23.59,19.28
2010-02-05-12:26:00,122.76,47.12,28.52,27.87,23.59,19.29
2010-02-05-12:27:00,122.8,47.13,28.55,27.88,23.59,19.3
2010-02-05-12:28:00,122.76,47.15,28.55,27.89,23.6,19.3
2010-02-05-12:29:00,122.87,47.16,28.58,27.89,23.6,19.3
2010-02-05-12:30:00,122.85,47.12,28.56,27.88,23.6,19.3
2010-02-05-12:31:00,122.77,47.1,28.56,27.86,23.62,19.29
2010-02-05-12:32:00,122.86,47.13,28.57,27.9,23.63,19.32
2010-02-05-12:33:00,122.86,47.13,28.58,27.87,23.62,19.28
2010-02-05-12:34:00,122.88,47.1,28.58,27.85,23.61,19.29
2010-02-05-12:35:00,122.83,47.12,28.59,27.85,23.63,19.31
2010-02-05-12:36:00,122.83,47.12,28.57,27.88,23.62,19.32
2010-02-05-12:37:00,122.79,47.12,28.57,27.87,23.62,19.32
2010-02-05-12:38:00,122.75,47.1,28.57,27.87,23.62,19.29
2010-02-05-12:39:00,122.67,47.05,28.51,27.81,23.6,19.26
2010-02-05-12:40:00,122.66,47.04,28.49,27.83,23.6,19.24
2010-02-05-12:41:00,122.6,47.01,28.48,27.81,23.57,19.23
2010-02-05-12:42:00,122.58,47.01,28.48,27.8,23.57,19.22
2010-02-05-12:43:00,122.58,47.03,28.47,27.8,23.57,19.23
2010-02-05-12:44:00,122.63,47.05,28.48,27.8,23.59,19.24
